category,categoryEn,subCategory,subCategoryEn,subSubCategory,subSubCategoryEn,name,nameEn,description,descriptionEn,Quantity,price
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Espresso,Espresso,,,—,2.9
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Espresso Doppio,Double Espresso,,,—,3.5
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Espresso Macchiato,Espresso Macchiato,,,—,3.7
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Latte Macchiato,Latte Macchiato,,,—,4.1
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Milchkaffee,Caffè Latte,,,—,4.2
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Flat White,Flat White,,,—,4.2
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Americano,Americano,,,—,3.4
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Cafe Crema,Café Crèma,,,—,3.4
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Filter Kaffee,Filter Coffee,,,—,3
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,White Mocha,White Mocha,,,—,5.2
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Chocolate Mocha,Chocolate Mocha,,,—,5.7
Getränke,Drinks,Hot Drinks,Hot Drinks,Kaffee,Coffee,Cappuccino,Cappuccino,,,—,3.9
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Matcha Latte,Matcha Latte,,,—,5.1
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Chai Latte,Chai Latte,,,—,4.9
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Hot Chocolate,Hot Chocolate,,,—,4.1
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Grüner Tee,Green Tea,,,—,3.6
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Schwarzer Tee,Black Tea,,,—,3.6
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Früchtetee,Fruit Tea,,,—,3.6
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Pfefferminztee,Peppermint Tea,,,—,3.6
Getränke,Drinks,Hot Drinks,Hot Drinks,Frischer Tee & Mehr,Fresh Tea & More,Kamillentee,Chamomile Tea,,,—,3.6
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Eiskaffee,Iced Coffee,optional mit Vanilleeis und Sahne,optional with vanilla ice cream and cream,—,5.5
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Eisschokolade,Iced Chocolate,optional mit Vanilleeis und Sahne,optional with vanilla ice cream and cream,—,5.5
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Ice Matcha,Iced Matcha,optional mit Strawberry / Mango,optional with strawberry / mango,—,5.7
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Chai Ice Latte,Iced Chai Latte,,,—,4.9
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Ice Americano,Iced Americano,,,—,3.4
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Ice Latte,Iced Latte,optional mit Caramel / Vanilla / Hazelnut,optional with caramel / vanilla / hazelnut,—,4.1
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Ice White Mocha,Iced White Mocha,,,—,5.2
Getränke,Drinks,Cold Drinks,Cold Drinks,Kaffee,Coffee,Ice Black Mocha,Iced Black Mocha,,,—,5.2
Getränke,Drinks,Cold Drinks,Cold Drinks,Hausgemachte Eistee,Homemade Iced Tea,Rosa Grapefruit,Pink Grapefruit,,,0.5l,5.9
Getränke,Drinks,Cold Drinks,Cold Drinks,Hausgemachte Eistee,Homemade Iced Tea,Royal Wassermelone,Royal Watermelon,,,0.5l,5.9
Getränke,Drinks,Cold Drinks,Cold Drinks,Hausgemachte Eistee,Homemade Iced Tea,Yuzu,Yuzu,,,0.5l,5.9
Getränke,Drinks,Extras,Extras,,,Haselnuss Sirup,Hazelnut Syrup,,,—,1
Getränke,Drinks,Extras,Extras,,,Caramel Sirup,Caramel Syrup,,,—,1
Getränke,Drinks,Extras,Extras,,,Vanille Sirup,Vanilla Syrup,,,—,1
